outcome,group,day,n_observations,mean,sd,median,q1,q3,minimum,maximum,n_subjects
C_PawDragPercent,Sham,0,26,4.825974678846154,5.166634280504907,5.0,0.0,8.2887700535,0.0,18.18181818,26
C_PawDragPercent,Sham,3,23,9.56348380826087,8.617826053869168,9.090909091,0.0,15.0,0.0,33.33333333,23
C_PawDragPercent,Sham,7,23,8.439266365304348,9.007378742058059,6.666666667,0.0,11.513157894999999,0.0,31.57894737,23
C_PawDragPercent,Sham,14,19,7.520651003526316,8.564196287070066,5.555555556,0.0,13.392857145,0.0,25.0,19
C_PawDragPercent,Sham,21,15,5.321159232733334,7.296316928178278,0.0,0.0,12.13235294,0.0,20.0,15
C_PawDragPercent,Sham,28,17,5.948539158,6.1298755044473765,5.555555556,0.0,10.0,0.0,18.18181818,17
C_PawDragPercent,Sham,42,3,10.317460318333334,4.4188606075445565,11.111111110000001,8.3333333325,12.6984127,5.555555555,14.28571429,3
C_PawDragPercent,Sham,56,1,0.0,,0.0,0.0,0.0,0.0,0.0,1
C_PawDragPercent,Stroke,0,97,4.38334314971134,4.745017356973671,5.0,0.0,6.25,0.0,20.0,97
C_PawDragPercent,Stroke,3,90,31.615745134522225,17.29534777158468,33.33333333,20.0,42.1474359,0.0,75.0,90
C_PawDragPercent,Stroke,7,86,25.590204446837213,14.20322390263154,27.92207792,16.0087719275,33.33333333,0.0,58.33333333,86
C_PawDragPercent,Stroke,14,74,21.85657696843243,12.009218724270816,22.22222222,15.096153845,29.8529411775,0.0,50.0,74
C_PawDragPercent,Stroke,21,43,17.057052544534884,12.30891157758608,18.18181818,7.4175824175,25.0,0.0,41.66666667,43
C_PawDragPercent,Stroke,28,64,14.823966577875,10.201926296344322,15.69230769,7.331730769,20.3571428575,0.0,35.71428571,64
C_PawDragPercent,Stroke,42,34,13.762035957019608,9.482347589597644,12.77173913,8.636363636125001,17.8030303025,0.0,33.33333333,34
C_PawDragPercent,Stroke,56,30,11.947726387733333,11.685399644033563,10.0,0.0,19.545454545,0.0,40.0,30
GW_FootFault,Sham,0,29,2.797642796448276,1.378474968306109,2.631578947,1.992031873,3.47826087,0.0,5.833333333,29
GW_FootFault,Sham,3,28,3.4221351979285717,1.7176056808006015,3.333333333,2.5,4.20258620725,0.0,7.5,28
GW_FootFault,Sham,7,24,2.9820857820625,1.7343526479536824,2.695086705,1.628787879,3.982843137,0.833333333,6.907378336,24
GW_FootFault,Sham,14,22,3.6870260372272727,1.3790062824626739,3.333333333,2.86864406775,4.85619469025,1.360544218,6.102040816,22
GW_FootFault,Sham,21,18,4.221227086444444,1.3962793267720814,3.8518518520000002,3.37719298225,5.0388853739999995,1.818181818,7.5,18
GW_FootFault,Sham,28,20,3.09288339795,1.6536301973691387,3.2795698925,1.77413273,3.90892002725,0.588235294,6.777530181,20
GW_FootFault,Sham,42,3,3.9444484717777777,0.8055832615408285,4.210526315666667,3.6250060411666665,4.396929824333333,3.0394857666666666,4.583333333,3
GW_FootFault,Sham,56,3,4.632306043,2.1753680198732703,3.448275862,3.377030493,5.2955665025,3.305785124,7.142857143,3
GW_FootFault,Stroke,0,97,2.6885255473505154,1.2586031189649425,2.5,1.886792453,3.488372093,0.0,6.666666667,97
GW_FootFault,Stroke,3,106,15.573792663339622,8.023422034867654,15.345368915,9.92187499975,20.0,0.833333333,41.02564103,106
GW_FootFault,Stroke,7,100,13.621938688970001,6.948960892520346,13.33333333,8.30479452025,17.6884920625,0.0,32.5,100
